<class '__main__.ConfigModel'>
----------------------
id,name,timestamp,value,host,tag,uuid,index,DeviceID,Caption
"55b308546f829d1b18a9d023","mem_DeviceLocator","2015-07-25 11:53:56","SODIMM1","viktor-laptop","Physical Memory 0","30f9eda56de6","","",""
"55b308546f829d1b18a9d024","disk_capacity","2015-07-25 11:53:56","142.24","viktor-laptop","","30f9eda56de6","0","C:",""
"55b308546f829d1b18a9d025","disk_capacity","2015-07-25 11:53:56","100.0","viktor-laptop","","30f9eda56de6","1","E:",""
"55b308546f829d1b18a9d026","disk_capacity","2015-07-25 11:53:56","140.0","viktor-laptop","","30f9eda56de6","2","F:",""
"55b308546f829d1b18a9d027","disk_capacity","2015-07-25 11:53:56","60.55","viktor-laptop","","30f9eda56de6","3","G:",""
"55b308546f829d1b18a9d028","disk_fstype","2015-07-25 11:53:56","NTFS","viktor-laptop","","30f9eda56de6","0","C:",""
"55b308546f829d1b18a9d029","disk_fstype","2015-07-25 11:53:56","NTFS","viktor-laptop","","30f9eda56de6","1","E:",""
"55b308546f829d1b18a9d02a","disk_fstype","2015-07-25 11:53:56","NTFS","viktor-laptop","","30f9eda56de6","2","F:",""
"55b308556f829d1b18a9d02b","disk_fstype","2015-07-25 11:53:57","NTFS","viktor-laptop","","30f9eda56de6","3","G:",""
"55b308556f829d1b18a9d02c","disk_size","2015-07-25 11:53:57","14.83","viktor-laptop","","30f9eda56de6","","","SD Card"
"55b308556f829d1b18a9d02d","disk_size","2015-07-25 11:53:57","447.13","viktor-laptop","","30f9eda56de6","","","Crucial_CT480M500SSD1"
"55b308556f829d1b18a9d02e","net_MACAddress","2015-07-25 11:53:57","3C:77:E6:DA:BE:05","viktor-laptop","","30f9eda56de6","0","","BCM43142 Wireless Network Adapter"
"55b308556f829d1b18a9d02f","net_MACAddress","2015-07-25 11:53:57","00:50:56:C0:00:08","viktor-laptop","","30f9eda56de6","1","","VMware Virtual Ethernet Adapter for VMnet8"
"55b308556f829d1b18a9d030","net_IPSubnet","2015-07-25 11:53:57","[u'255.255.252.0', u'64']","viktor-laptop","","30f9eda56de6","0","","BCM43142 Wireless Network Adapter"
"55b308556f829d1b18a9d031","net_IPSubnet","2015-07-25 11:53:57","[u'255.255.255.0', u'64']","viktor-laptop","","30f9eda56de6","1","","VMware Virtual Ethernet Adapter for VMnet8"
"55b308556f829d1b18a9d032","net_DefaultIPGateway","2015-07-25 11:53:57","[u'172.16.115.254']","viktor-laptop","","30f9eda56de6","0","","BCM43142 Wireless Network Adapter"
"55b308556f829d1b18a9d033","net_DefaultIPGateway","2015-07-25 11:53:57","None","viktor-laptop","","30f9eda56de6","1","","VMware Virtual Ethernet Adapter for VMnet8"
"55b308556f829d1b18a9d034","net_ip_address","2015-07-25 11:53:57","[u'172.16.112.155', u'fe80::c592:2f39:b5a2:84a0']","viktor-laptop","","30f9eda56de6","0","","BCM43142 Wireless Network Adapter"
"55b308156f829d1b18a9ccb2","test.username","2015-07-25 11:52:53","viktor","viktor-laptop","","30f9eda56de6","","",""
"55b308236f829d1b18a9ccf0","cpu_NumberOfCores","2015-07-25 11:53:07","2","viktor-laptop","","30f9eda56de6","","CPU0",""
"55b308236f829d1b18a9ccf1","cpu_MaxClockSpeed","2015-07-25 11:53:07","1601","viktor-laptop","","30f9eda56de6","","CPU0",""
"55b308236f829d1b18a9ccf2","cpu_MaxClockSpeed","2015-07-25 11:53:07","1601","viktor-laptop","","30f9eda56de6","","CPU0",""
"55b308236f829d1b18a9ccf3","cpu_NumberOfLogicalProcessors","2015-07-25 11:53:07","4","viktor-laptop","","30f9eda56de6","","CPU0",""
"55b308236f829d1b18a9ccf4","cpu_Description","2015-07-25 11:53:07","Intel64 Family 6 Model 69 Stepping 1","viktor-laptop","","30f9eda56de6","","CPU0",""
"55b308236f829d1b18a9ccf5","cpu_Name","2015-07-25 11:53:07","Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz","viktor-laptop","","30f9eda56de6","","CPU0",""
"55b308246f829d1b18a9ccf6","mem_Capacity","2015-07-25 11:53:08","4096.0","viktor-laptop","Physical Memory 0","30f9eda56de6","","",""
"55b308246f829d1b18a9ccf8","mem_Speed","2015-07-25 11:53:08","None","viktor-laptop","Physical Memory 0","30f9eda56de6","","",""
"55b308246f829d1b18a9ccf9","mem_DeviceLocator","2015-07-25 11:53:08","SODIMM1","viktor-laptop","Physical Memory 0","30f9eda56de6","","",""
"55b308246f829d1b18a9ccfa","disk_capacity","2015-07-25 11:53:08","142.24","viktor-laptop","","30f9eda56de6","0","C:",""
"55b308246f829d1b18a9ccfb","disk_capacity","2015-07-25 11:53:08","100.0","viktor-laptop","","30f9eda56de6","1","E:",""
"55b308246f829d1b18a9ccfc","disk_capacity","2015-07-25 11:53:08","140.0","viktor-laptop","","30f9eda56de6","2","F:",""
"55b308246f829d1b18a9ccfd","disk_capacity","2015-07-25 11:53:08","60.55","viktor-laptop","","30f9eda56de6","3","G:",""
"55b308246f829d1b18a9ccfe","disk_fstype","2015-07-25 11:53:08","NTFS","viktor-laptop","","30f9eda56de6","0","C:",""
"55b308246f829d1b18a9ccff","disk_fstype","2015-07-25 11:53:08","NTFS","viktor-laptop","","30f9eda56de6","1","E:",""
"55b308246f829d1b18a9cd00","disk_fstype","2015-07-25 11:53:08","NTFS","viktor-laptop","","30f9eda56de6","2","F:",""
"55b308246f829d1b18a9cd01","disk_fstype","2015-07-25 11:53:08","NTFS","viktor-laptop","","30f9eda56de6","3","G:",""
"55b308256f829d1b18a9cd02","disk_size","2015-07-25 11:53:09","14.83","viktor-laptop","","30f9eda56de6","","","SD Card"
"55b308256f829d1b18a9cd03","disk_size","2015-07-25 11:53:09","447.13","viktor-laptop","","30f9eda56de6","","","Crucial_CT480M500SSD1"
"55b308256f829d1b18a9cd04","net_MACAddress","2015-07-25 11:53:09","3C:77:E6:DA:BE:05","viktor-laptop","","30f9eda56de6","0","","BCM43142 Wireless Network Adapter"
"55b308256f829d1b18a9cd05","net_MACAddress","2015-07-25 11:53:09","00:50:56:C0:00:08","viktor-laptop","","30f9eda56de6","1","","VMware Virtual Ethernet Adapter for VMnet8"
"55b308256f829d1b18a9cd06","net_IPSubnet","2015-07-25 11:53:09","[u'255.255.252.0', u'64']","viktor-laptop","","30f9eda56de6","0","","BCM43142 Wireless Network Adapter"
